MONTH,ACCIDENT_DATE,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,HIT_RUN_FLAG,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,RUN_OFFROAD,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,DRIVER,MOTORIST,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,STAT_DIV_NAME,MONTH,MONTH_COUNT,MONTH_ALC,MONTH_NALC,DAY,DAY_COUNT
2019/01,2019/01/01 00:00:00+00,No,Collision with vehicle,Tuesday,No,Day,Serious injury accident,50 km/hr,No,145.0061692,-37.94766454,Non-Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,Yes,0,4,0,4,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with vehicle,Monday,Yes,Dark Street lights on,Serious injury accident,60 km/hr,No,144.8273368,-37.78537186,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,3,2,0,2,0,1,2,1,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,No,Collision with vehicle,Monday,No,Day,Other injury accident,Not known,No,144.9374039,-37.76628263,Non-Intersection,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,4,1,0,0,1,3,1,3,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Collision with vehicle,Wednesday,No,Dark Street lights on,Other injury accident,70 km/hr,No,145.1638235,-37.89068599,Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,0,2,0,0,0,1,0,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Collision with vehicle,Wednesday,No,Dusk/Dawn,Other injury accident,40 km/hr,No,144.6670336,-37.86086688,Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,2,0,0,0,0,1,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Collision with vehicle,Wednesday,No,Dark Street lights on,Serious injury accident,70 km/hr,No,145.0222722,-37.69615057,Non-Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,4,1,0,1,0,2,1,2,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Vehicle overturned (no collision),Tuesday,No,Dusk/Dawn,Other injury accident,Camping grounds or off road,No,145.9489489,-38.17146337,Off Road,BAW BAW,EASTERN REGION,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Country,,,,,,
2019/01,2019/01/02 00:00:00+00,No,Collision with vehicle,Wednesday,No,Day,Serious injury accident,50 km/hr,No,144.5608204,-38.16132399,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2,1,0,1,0,1,1,1,1,1,0,0,0,0,0,No,0,2,0,1,0,0,Country,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Struck Pedestrian,Wednesday,Yes,Day,Serious injury accident,30km/hr,No,145.0405976,-37.64638103,Non-Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,3,1,0,1,0,1,2,0,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Collision with vehicle,Wednesday,No,Dark Street lights on,Serious injury accident,80 km/hr,No,144.9289155,-37.64379979,Intersection,HUME,METROPOLITAN NORTH WEST REGION,3,3,0,3,0,0,1,2,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Struck Pedestrian,Wednesday,No,Dark Street lights on,Serious injury accident,50 km/hr,No,145.0148443,-37.63481887,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,,,,,,
